,Datetime,Tweet Id,Text,Sentiment
56,2021-10-29 22:54:38+00:00,1454220157220364288,Hiro https://t.co/DKtVzNJakL,1.0
57,2021-10-29 19:28:01+00:00,1454168163382300673,@TomBalawejder neither,1.0
58,2021-10-29 19:18:14+00:00,1454165699983667201,"what's measured matters
https://t.co/PInFfExuhB
https://t.co/Yuy4Hjlosv",1.0
59,2021-10-28 23:46:39+00:00,1453870861828558851,@BessingerKrista 🙏,1.0
60,2021-10-28 22:35:59+00:00,1453853075995648000,@dhof Meta,1.0
61,2021-10-28 18:24:17+00:00,1453789734791090189,meta: referring to itself or to the conventions of its genre; self-referential.,1.0
62,2021-10-28 00:46:14+00:00,1453523465919627264,rusty 🎄 https://t.co/JtApg2lyod,1.0
63,2021-10-27 02:52:28+00:00,1453192845565644807,💯 https://t.co/pgx14i8mEb,1.0
64,2021-10-27 02:27:27+00:00,1453186553778294788,@steve_hanke Does this mean I can’t join a cryptocurrency board?,1.0
65,2021-10-26 14:55:07+00:00,1453012320347725843,@AlexH_Johnson Me too,1.0
66,2021-10-25 19:52:52+00:00,1452724863366356994,👀 https://t.co/wMwBHKbLTs,1.0
67,2021-10-25 19:20:29+00:00,1452716715935031296,Square sellers can now accept Cash App as a payment type 💯 https://t.co/a0poGutJhq,1.0
68,2021-10-25 16:48:02+00:00,1452678350229544962,@KarenAttiah We’re working on narrowcasting (communities) to help address this,2.0
69,2021-10-25 16:05:51+00:00,1452667735016542209,@Jason or…reading my lines,1.0
70,2021-10-25 15:25:07+00:00,1452657483726553088,@satsie @page88 Candyman?,1.0
71,2021-10-24 09:11:04+00:00,1452200963616514053,@alexisohanian ?,1.0
72,2021-10-24 05:43:32+00:00,1452148734620360707,@balajis FB is creating something they can control. Different.,2.0
73,2021-10-24 05:10:53+00:00,1452140519551758339,@stewartbrand @iPolicy @pcronald @prometheusgreen And loved it,1.0
74,2021-10-24 05:09:26+00:00,1452140153305059333,@steve_hanke 🤣,1.0
75,2021-10-24 04:40:54+00:00,1452132973159936000,https://t.co/Dxf98k88W2,1.0
76,2021-10-24 02:54:17+00:00,1452106139408076802,@cullenroche ?,1.0
77,2021-10-23 20:48:59+00:00,1452014211811344384,💯 https://t.co/uPVEL0c3T5,1.0
78,2021-10-23 20:47:53+00:00,1452013932340645888,@ThHappyHawaiian Someone bought that emoji for tether,1.0
79,2021-10-23 17:14:45+00:00,1451960297762144256,@RudyHavenstein Not a wish. Nor do I think it’s positive at all.,1.0
80,2021-10-23 02:22:30+00:00,1451735753117999104,"@oviosu It will happen in the US soon, and so the world.",1.0
81,2021-10-23 02:15:11+00:00,1451733913961783299,Hyperinflation is going to change everything. It’s happening.,1.0
82,2021-10-22 23:03:39+00:00,1451685712852512771,Great interview https://t.co/WB4L3me9Jp,1.0
83,2021-10-22 15:44:49+00:00,1451575275012050944,@btcplebeian Yes,1.0
84,2021-10-21 19:51:35+00:00,1451274988426719242,💯 https://t.co/RdaWjsrqcp,1.0
85,2021-10-21 19:41:34+00:00,1451272468891533313,"@coolvalleymayor 💯 and this is a belief felt by so many, they are correct.",1.0
86,2021-10-21 19:34:39+00:00,1451270727039000580,@_jonasschnelli_ Thank you for everything Jonas 🧡,1.0
87,2021-10-21 19:00:11+00:00,1451262055592300563,@ErikVoorhees @gaborgurbacs @finkd @SBF_FTX @cz_binance Agree,1.0
88,2021-10-21 18:46:49+00:00,1451258690342817801,@seanvid Extremely short-sighted view when every single successful internet company has benefited from this. Look deeper.,1.0
89,2021-10-21 16:50:22+00:00,1451229383423787010,@lsanger @bluesky Not hidden: https://t.co/YuIPSsCWPn,1.0
90,2021-10-21 02:11:52+00:00,1451008302117056521,"@JCastroS @gladstein I don’t believe any company can, or should, lead whatever these things are. The incentives are wrong. 

I do believe companies can and should help fund open protocols they own zero direction over, however.",1.0
91,2021-10-21 02:06:14+00:00,1451006884903735297,@MikeIsaac Looked amazing,1.0
92,2021-10-21 01:10:15+00:00,1450992798560260098,@cdixon ?,1.0
93,2021-10-21 00:52:16+00:00,1450988271949938697,jane seems cool https://t.co/huaPQAZldD,1.0
94,2021-10-21 00:37:32+00:00,1450984562746556420,i guess @jack is taken https://t.co/Ktz4ODsdpX,1.0
95,2021-10-21 00:21:50+00:00,1450980610936164355,@MikeIsaac Make chili instead,1.0
96,2021-10-20 23:37:37+00:00,1450969485561585674,"Great interview with @dergigi:

https://t.co/dWuhsU7DYK

Also: https://t.co/GLS2pjSTqZ",1.0
97,2021-10-20 20:55:40+00:00,1450928730507919362,@jebus911 Focused on the money,1.0
98,2021-10-20 20:52:31+00:00,1450927937075630082,@dergigi NgD,1.0
99,2021-10-20 18:32:12+00:00,1450892622847889409,@lsanger @bluesky I don’t know why we don’t do that. Open to it. But that’s not decentralizing much except client.,1.0
100,2021-10-20 18:19:25+00:00,1450889405510553601,@lsanger We’ve been actively working on it. @bluesky,1.0
101,2021-10-20 15:58:38+00:00,1450853976602124292,Central Intelligence Corporation,1.0
102,2021-10-20 14:01:08+00:00,1450824408235327493,🌕,1.0
103,2021-10-20 13:47:21+00:00,1450820940296704006,off by 117,1.0
104,2021-10-20 03:38:03+00:00,1450667602703904768,"NARRATOR

He was. https://t.co/U4XnXCmeeG",1.0
105,2021-10-20 02:42:27+00:00,1450653611743010824,@notgrubles ¯\_(ツ)_/¯,1.0
106,2021-10-20 02:40:25+00:00,1450653101615030286,@nvk @MrHodl I’ll do better,1.0
107,2021-10-19 19:29:47+00:00,1450544727091146752,705742,1.0
108,2021-10-19 18:24:51+00:00,1450528387282341888,@delbius Thank you Del! ❤️❤️❤️,1.0
109,2021-10-16 20:58:18+00:00,1449479838574657537,@jasondebolt GigaBill,1.0
110,2021-10-15 20:29:41+00:00,1449110251882549253,"Our team led by @jessedorogusker will start the deep technical investigation required to take on this project. We’d love your thoughts, ideas, concerns, and collaboration. Should we do this? Why or why not? We’ll update this thread as we make our decisions. And now over to Jesse.",1.0
111,2021-10-15 20:29:41+00:00,1449110250058096640,5/Mining isn’t accessible to everyone. Bitcoin mining should be as easy as plugging a rig into a power source. There isn’t enough incentive today for individuals to overcome the complexity of running a miner for themselves. What are the biggest barriers for people running miners?,0.0
112,2021-10-15 20:29:40+00:00,1449110247776342018,"4/There isn’t enough focus on vertical integration. Considering hardware, software, productization, and distribution requires accountability for delivering to an end customer vs improving a single technology in the chain. Does seeing this as a single system improve accessibility?",1.0
113,2021-10-15 20:29:40+00:00,1449110245670801408,"3/Silicon design is too concentrated into a few companies. This means supply is likely overly constrained. Silicon development is very expensive, requires long term investment, and is best coupled tightly with software and system design. Why aren’t more companies doing this work?",0.0
114,2021-10-15 20:29:39+00:00,1449110243628265472,"2/Mining needs to be more efficient. Driving towards clean and efficient energy use is great for Bitcoin’s economics, impact, and scalability. Energy is a system-level problem that requires innovation in silicon, software, and integration. What are the largest opportunities here?",1.0
115,2021-10-15 20:29:39+00:00,1449110241325551616,"1/Mining needs to be more distributed. The core job of a miner is to securely settle transactions without the need for trusted 3rd parties. This is critical well after the last bitcoin is mined. The more decentralized this is, the more resilient the Bitcoin network becomes. True?",1.0
