Datetime,Tweet Id,Text,Sentiment
2021-07-12 23:47:50+00:00,1414733270378455040,"Loved it when Sirigu grabbed the flag and wore it when he got his medal.   

I due Sardi!!  

#Barella #Sirigu #Sardegna #Sardinia #ITAENG #Euro2020Final #EURO2020 #ItalyvsEngland https://t.co/CsfMtVbF4y",1.0
2021-07-12 23:46:33+00:00,1414732946251161604,Well said @ginayashere!! #racism #BlackLivesMatter #Euro2020Final #bbcnews https://t.co/YQXjBJzp9P,1.0
2021-07-12 23:46:27+00:00,1414732920347103235,#EURO2020 #EuropeanChampionship #europei2021 #Euro2020Final   “Beerexit”... https://t.co/4icjyJSTjh,1.0
2021-07-12 23:45:54+00:00,1414732784275533827,"@3gerardpique @EURO2020 @Vivo_Azzurro Il commento più fesso d'Europa,  perfino più fesso di un commento di @KRLS #puigdemont  ; #pique #puigdemont #rigori #Euro2020Final #EURO2020 #europei2021 #englanditaly #InghilterraItalia #spagnaitalia #espanaitalia https://t.co/ilEwbkTJSD",1.0
2021-07-12 23:45:51+00:00,1414732768563453953,"England fans are the most horrible people when it comes to misbehaving and giving racist remarks especially on their own players!!! Missing &amp; scoring a penalty is part of football, that is normal but not racism. Disgusted!! #Engalnd #EURO2020 #Euro2020Final #englandfans #racism",0.0
2021-07-12 23:45:36+00:00,1414732709126152197,"Instead of denying that their country is #racist , what if #England prioritized decolonizing? Divest of the resources you stole, start teaching your full history to your kids, y’all owe REPARATIONS to a lot of people. #EuroFinal #racistengland",2.0
2021-07-12 23:45:33+00:00,1414732696547381248,Polémico video de #Ronaldinho festejando por #Miami después de la #Euro2020Final Quién confirma? #USA https://t.co/uvB7X7UHJi,1.0
2021-07-12 23:45:18+00:00,1414732629652516865,"I stand with #Saka
I stand with #Rashford
I stand with #Sancho

#SayNoToRacism #Euro2020Final",1.0
2021-07-12 23:45:00+00:00,1414732557862805508,"#MarcusRashford #JadonSancho #BukayoSaka you can be heroes!
#EuroFinal #Euros2021 https://t.co/KlUm7nMx6c",1.0
2021-07-12 23:45:00+00:00,1414732554930958337,"The sight of the burning UK flag was tweeted by 'The Simpsons' fan account on Twitter after England lost the #Euro2020Final

https://t.co/7oOHYA3qCn",1.0
2021-07-12 23:44:33+00:00,1414732442217455620,Tyrone Mings makes an extremely valid point - directed at YOU @pritipatel - we’d be interested to hear your response to him… #ToryHypocrisy #ENG #Euro2020Final #TakeTheKnee https://t.co/ByVTn0NjOh,1.0
2021-07-12 23:43:42+00:00,1414732228303671298,Why fight a brother over a game? #Euro2020Final #EuroFinal #ENG #englanditaly #England #ENGvITA https://t.co/W1TMfw5Tir,1.0
2021-07-12 23:43:20+00:00,1414732135525662725,"Prens George, İngiltere'nin kaybetmesine çok üzüldü; https://t.co/GvfLnk8Rvf #princegorge #wembley #Euro2020Final https://t.co/zPtQFBCslG",1.0
2021-07-12 23:42:25+00:00,1414731904352493569,ΜΑΥΡΗ ΝΥΧΤΑ ΓΙΑ ΤΟ ΑΓΓΛΙΚΟ ΠΟΔΟΣΦΑΙΡΟ 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 #EURO2020 #Euro2020Final https://t.co/RQ1yCZv1K3,1.0
2021-07-12 23:41:56+00:00,1414731786052149249,"Disgusting #racism #violence &amp; people without tickets storming the gates even before the game. This is why the cup &amp; the beautiful game has never &amp; will never be yours; &amp; why every other country was cheering for #Italy last night.
#StayClassy #England #ForzaAzzurri #Euro2020Final https://t.co/K6pLyPSFv6",0.0
2021-07-12 23:41:42+00:00,1414731726195146757,guess who lost the penalties yesterday #EURO2020 #Euro2020Final #EuroFinal #EuroCup2021 https://t.co/1o9DshbS20,1.0
2021-07-12 23:41:30+00:00,1414731674869456896,"Voglio sperare che la prossima volta che LUI invade il campo di una finale, il nuovo direttore della #RAI appena nominato da #Draghi provveda a riprenderlo con una esclusiva giustificata dall'alto valore estetico. @Raiofficialnews #Euro2020Final #InghilterraItalia #EURO2020 https://t.co/LDfpO8Faaa",0.0
2021-07-12 23:41:06+00:00,1414731574151688193,"They didn't deserve the win!!  
If only the ref did his job and gave 2 blatant offences the red card send off...it might have been a different story.  Bad show #Italy #Euro2020Final #EnglandvItaly https://t.co/GKAG55bV0P",1.0
2021-07-12 23:40:56+00:00,1414731534477799425,"GRAZIE AZZURRI 💙💙💙
VIVA L’ITALIA 🇮🇹

#Euros2021 #11luglio #ItaliaInghilterra #ItaliaCampionedEuropa #ItsComingRome #ITA #nazionaleitaliana #NotteAzzurra #nottimagiche #notteazzurralavittoria #campionideuropa #EURO2020 #EuroFinal https://t.co/jYzavYQT0v",1.0
2021-07-12 23:40:26+00:00,1414731405582602240,"Guardatelo.
Sembra la Gioconda.
#mattarella
#Euro2020Final 
#EURO2020 https://t.co/TIEbN5JTa4",1.0
2021-07-12 23:39:53+00:00,1414731267992694784,Antonio #Banderas-Κώστας Σόμμερ: Συναντήθηκαν στη νέα ταινία The Enforcer στη Θεσσαλονίκη https://t.co/kPwGuvNL2i #salonikaplus #toprwino #MeToo    #ρεπο #aggeliki #happyday #προνόμια #Greece #elaxamogela #κρουσματα #κορωνοιος #COVID19 #Χαρδαλιας #teambogdanos #Ηλιουπολη #ENGITA,1.0
